Commodity,PBEEF,PFSHMEAL,PLAMB,PPORK,PPOULT,PSALM,PSHRI,,
2023M1,211,1440.2,94.68,72.72,164.76,9.23,7.07,,285.67
2023M2,216.9,1437.11,96.96,73.45,163.86,9.49,6.8,,286.37
2023M3,238.48,1450.51,100.13,76.23,170.97,11.25,7.19,,293.54
2023M4,248.38,1526.06,110.3,69.86,179.66,10.82,7.05,,307.45
2023M5,240.96,1664.23,108.72,74.82,182.07,10.25,6.96,,326.86
2023M6,228.89,1689.1,104.77,85.34,174.09,9.12,7.07,,328.34
2023M7,216.88,1787.14,96.24,99.85,154.11,9.14,6.91,,338.61
2023M8,214.35,1799.78,81.99,96.95,147.54,7.74,6.69,,336.43
2023M9,220.5,1774.61,82.59,84.34,155.95,7.13,6.94,,333.15
2023M10,226.91,1743.74,85.7,78.64,155.73,7.51,7.12,,329.33
2023M11,221.16,1776.55,88.37,72.84,159.23,7.53,6.88,,333.22
2023M12,218.93,1750.21,91.72,65.82,167.06,8.28,7.05,,329.87
2024M1,219.89,1627.95,93.98,67.29,168.76,10.21,7.05,,313.59
2024M2,234,1591.33,95.96,74.78,167.02,10.27,7.19,,311.51
2024M3,250.76,1597.82,98.95,80.86,168.42,10.16,7.18,,316.31
2024M4,270.57,1490.51,100.98,87.54,170.86,10.96,7.06,,305.5
2024M5,269.02,1401.07,100.84,89.39,170.87,11.09,7.19,,292.78
2024M6,263.63,1400.58,112.02,88.67,171.47,8.67,6.99,,293.15
2024M7,270.63,1396.77,121,87.8,171.65,7.39,7.06,,294.62
2024M8,273.55,1404.86,122.1,88.01,168.6,7.47,7.46,,296.01
2024M9,271.14,1407.7,128.57,82.79,171.02,6.96,7.72,,296.56
2024M10,272.22,1328.01,133.16,83.19,173.18,6.81,7.85,,286.35
2024M11,269.52,1279.45,125.42,86.24,172.44,7.29,8.24,,278.37
2024M12,276.23,1292.87,126,82.22,175.36,8.03,8.02,,281.25
2025M1,281.76,1281.35,127.79,80.19,176.79,9.62,7.33,,280.69
2025M2,285.88,1309.82,133.62,86.31,171.87,8.33,7.43,,286.18
2025M3,292.17,1414,139.24,87.2,173.37,8.36,7.24,,303.08
